epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,813.9,0.61789,0.70283,0.9807,0.86375,0.40901,0.46625,0.23009,1.92575,2.33999,1.58467,1.76107e-05,1.76107e-05,1.76107e-05
85,823.75,0.56622,0.58108,1.06666,0.86375,0.40901,0.46625,0.23009,1.92575,2.33999,1.58467,1.68333e-05,1.68333e-05,1.68333e-05
86,833.641,0.80117,0.98279,1.33215,0.86375,0.40901,0.46625,0.23009,1.92575,2.33999,1.58467,1.60323e-05,1.60323e-05,1.60323e-05
87,843.532,0.5371,0.72815,1.08189,0.86375,0.40901,0.46625,0.23009,1.92575,2.33999,1.58467,1.52077e-05,1.52077e-05,1.52077e-05
88,853.542,0.70168,0.93059,1.14842,0.8708,0.40966,0.42373,0.21279,1.90512,2.31424,1.57677,1.43596e-05,1.43596e-05,1.43596e-05
89,863.5,0.5428,0.62977,1.06732,0.8708,0.40966,0.42373,0.21279,1.90512,2.31424,1.57677,1.34879e-05,1.34879e-05,1.34879e-05
90,873.428,0.60832,0.54569,1.01146,0.8708,0.40966,0.42373,0.21279,1.90512,2.31424,1.57677,1.25927e-05,1.25927e-05,1.25927e-05
91,883.287,0.54086,0.51565,1.0241,0.8708,0.40966,0.42373,0.21279,1.90512,2.31424,1.57677,1.16739e-05,1.16739e-05,1.16739e-05
92,893.277,0.54545,0.50699,0.86397,0.85372,0.41386,0.51619,0.24906,1.82828,2.24198,1.52525,1.07315e-05,1.07315e-05,1.07315e-05
93,903.245,0.60425,0.59885,1.08308,0.85372,0.41386,0.51619,0.24906,1.82828,2.24198,1.52525,9.76562e-06,9.76562e-06,9.76562e-06
94,913.148,0.43666,0.45952,0.8902,0.85372,0.41386,0.51619,0.24906,1.82828,2.24198,1.52525,8.77613e-06,8.77613e-06,8.77613e-06
95,923.013,0.4509,0.42374,0.90149,0.85372,0.41386,0.51619,0.24906,1.82828,2.24198,1.52525,7.76308e-06,7.76308e-06,7.76308e-06
96,933.257,0.56922,0.46695,0.97572,0.84587,0.49662,0.51707,0.2536,1.86078,2.1207,1.50791,6.72648e-06,6.72648e-06,6.72648e-06
97,943.208,0.54886,0.54277,0.89925,0.84587,0.49662,0.51707,0.2536,1.86078,2.1207,1.50791,5.6663e-06,5.6663e-06,5.6663e-06
98,953.12,0.60755,0.55864,0.98221,0.84587,0.49662,0.51707,0.2536,1.86078,2.1207,1.50791,4.58257e-06,4.58257e-06,4.58257e-06
99,963.041,0.61174,0.51864,1.06934,0.84587,0.49662,0.51707,0.2536,1.86078,2.1207,1.50791,3.47528e-06,3.47528e-06,3.47528e-06
100,973.074,0.43069,0.47253,0.95567,0.65441,0.49854,0.5332,0.25638,1.87462,2.23605,1.55369,2.34442e-06,2.34442e-06,2.34442e-06
